Bot_ID,Tipo,direccion,symbol,Precio_Entrada,Precio_Salida,PnL,Hora_Entrada,Hora_Cierre,Trade_Id
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.7,0.0036,2026-06-21 10:16:03,2026-06-21 10:23:54,BNB_Grid_0.3_1_1782051363
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.00132384,0.0033,2026-06-21 10:28:48,2026-06-21 10:32:42,BNB_Grid_0.3_3_1782052128
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.42690769,0.0043,2026-06-21 10:25:27,2026-06-21 10:35:48,BNB_Grid_0.3_2_1782051927
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.67155668,0.0034,2026-06-21 10:43:45,2026-06-21 10:44:51,BNB_Grid_0.3_6_1782053025
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.71624203,0.0039,2026-06-21 10:46:00,2026-06-21 10:53:21,BNB_Grid_0.3_7_1782053160
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.05932025,0.0040,2026-06-21 10:38:39,2026-06-21 10:56:09,BNB_Grid_0.3_5_1782052719
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.38150557,0.0039,2026-06-21 10:37:48,2026-06-21 11:01:36,BNB_Grid_0.3_4_1782052668
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.32269228,0.0033,2026-06-21 11:11:18,2026-06-21 11:18:15,BNB_Grid_0.3_10_1782054678
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.37,0.0038,2026-06-21 11:24:45,2026-06-21 11:26:42,BNB_Grid_0.3_11_1782055485
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.84,0.0052,2026-06-21 11:08:48,2026-06-21 11:26:48,BNB_Grid_0.3_9_1782054528
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.03094521,0.0037,2026-06-21 12:05:51,2026-06-21 12:09:15,BNB_Grid_0.3_18_1782057951
BNB_Grid_0.3,grid,long,bnbusdt,588.01,588.44,0.0043,2026-06-21 16:48:39,2026-06-21 16:49:48,BNB_Grid_0.3_33_1782074919
BNB_Grid_0.3,grid,long,bnbusdt,588.01,588.4834958,0.0047,2026-06-21 16:51:18,2026-06-21 16:51:54,BNB_Grid_0.3_34_1782075078
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.67,0.0033,2026-06-21 16:48:03,2026-06-21 16:54:21,BNB_Grid_0.3_32_1782074883
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.72650594,0.0039,2026-06-21 16:57:18,2026-06-21 16:59:03,BNB_Grid_0.3_35_1782075438
BNB_Grid_0.3,grid,long,bnbusdt,585.71,586.15116363,0.0044,2026-06-21 17:10:00,2026-06-21 17:10:18,BNB_Grid_0.3_43_1782076200
BNB_Grid_0.3,grid,long,bnbusdt,586.03,586.61079275,0.0058,2026-06-21 17:10:00,2026-06-21 17:10:27,BNB_Grid_0.3_44_1782076200
BNB_Grid_0.3,grid,long,bnbusdt,586.36,586.87,0.0051,2026-06-21 17:09:57,2026-06-21 17:10:33,BNB_Grid_0.3_41_1782076197
BNB_Grid_0.3,grid,long,bnbusdt,586.36,586.69754431,0.0034,2026-06-21 17:11:06,2026-06-21 17:11:39,BNB_Grid_0.3_45_1782076266
BNB_Grid_0.3,grid,long,bnbusdt,586.69,587.13,0.0044,2026-06-21 17:09:57,2026-06-21 17:13:09,BNB_Grid_0.3_42_1782076197
BNB_Grid_0.3,grid,long,bnbusdt,587.02,587.40472124,0.0038,2026-06-21 17:09:36,2026-06-21 17:15:09,BNB_Grid_0.3_40_1782076176
BNB_Grid_0.3,grid,long,bnbusdt,585.71,586.13109022,0.0042,2026-06-21 17:18:24,2026-06-21 17:18:45,BNB_Grid_0.3_50_1782076704
BNB_Grid_0.3,grid,long,bnbusdt,586.03,586.3623103,0.0033,2026-06-21 17:18:18,2026-06-21 17:19:51,BNB_Grid_0.3_49_1782076698
BNB_Grid_0.3,grid,long,bnbusdt,586.36,586.69,0.0033,2026-06-21 17:18:00,2026-06-21 17:20:36,BNB_Grid_0.3_48_1782076680
BNB_Grid_0.3,grid,long,bnbusdt,586.69,587.08749545,0.0040,2026-06-21 17:17:36,2026-06-21 17:21:00,BNB_Grid_0.3_47_1782076656
BNB_Grid_0.3,grid,long,bnbusdt,587.02,587.38,0.0036,2026-06-21 17:16:33,2026-06-21 17:21:06,BNB_Grid_0.3_46_1782076593
BNB_Grid_0.3,grid,long,bnbusdt,587.35,587.6891991,0.0034,2026-06-21 17:09:18,2026-06-21 17:21:15,BNB_Grid_0.3_39_1782076158
BNB_Grid_0.3,grid,long,bnbusdt,587.68,588.03,0.0035,2026-06-21 17:09:15,2026-06-21 17:23:06,BNB_Grid_0.3_38_1782076155
BNB_Grid_0.3,grid,long,bnbusdt,587.35,587.78194053,0.0043,2026-06-21 17:25:18,2026-06-21 17:31:00,BNB_Grid_0.3_52_1782077118
BNB_Grid_0.3,grid,long,bnbusdt,587.02,587.35070171,0.0033,2026-06-21 17:37:51,2026-06-21 17:38:15,BNB_Grid_0.3_54_1782077871
BNB_Grid_0.3,grid,long,bnbusdt,587.35,587.68295528,0.0033,2026-06-21 17:37:09,2026-06-21 17:38:36,BNB_Grid_0.3_53_1782077829
BNB_Grid_0.3,grid,long,bnbusdt,587.68,588.02779601,0.0035,2026-06-21 17:24:33,2026-06-21 17:39:06,BNB_Grid_0.3_51_1782077073
BNB_Grid_0.3,grid,long,bnbusdt,588.01,588.37896631,0.0037,2026-06-21 17:09:00,2026-06-21 17:39:12,BNB_Grid_0.3_37_1782076140
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.81,0.0047,2026-06-21 17:06:45,2026-06-21 17:39:33,BNB_Grid_0.3_36_1782076005
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.6723072,0.0033,2026-06-21 17:45:45,2026-06-21 17:48:21,BNB_Grid_0.3_55_1782078345
BNB_Grid_0.3,grid,long,bnbusdt,587.68,588.03218721,0.0035,2026-06-21 17:57:15,2026-06-21 17:59:15,BNB_Grid_0.3_58_1782079035
BNB_Grid_0.3,grid,long,bnbusdt,587.35,587.70906384,0.0036,2026-06-21 18:00:06,2026-06-21 18:00:27,BNB_Grid_0.3_60_1782079206
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.11,0.0045,2026-06-21 16:46:33,2026-06-21 23:01:48,BNB_Grid_0.3_28_1782074793
BNB_Grid_0.3,grid,long,bnbusdt,589.33,590.11,0.0078,2026-06-21 16:47:03,2026-06-21 23:01:48,BNB_Grid_0.3_29_1782074823
BNB_Grid_0.3,grid,long,bnbusdt,589.0,590.11,0.0111,2026-06-21 16:47:12,2026-06-21 23:01:48,BNB_Grid_0.3_30_1782074832
BNB_Grid_0.3,grid,long,bnbusdt,588.67,590.11,0.0144,2026-06-21 16:47:30,2026-06-21 23:01:48,BNB_Grid_0.3_31_1782074850
BNB_Grid_0.3,grid,long,bnbusdt,588.34,590.11,0.0177,2026-06-21 17:52:00,2026-06-21 23:01:48,BNB_Grid_0.3_56_1782078720
BNB_Grid_0.3,grid,long,bnbusdt,588.01,590.11,0.0210,2026-06-21 17:54:57,2026-06-21 23:01:48,BNB_Grid_0.3_57_1782078897
BNB_Grid_0.3,grid,long,bnbusdt,587.68,590.11,0.0243,2026-06-21 18:00:03,2026-06-21 23:01:48,BNB_Grid_0.3_59_1782079203
BNB_Grid_0.3,grid,long,bnbusdt,587.35,590.11,0.0276,2026-06-21 18:00:51,2026-06-21 23:01:48,BNB_Grid_0.3_61_1782079251
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.00716077,0.0035,2026-06-21 23:01:57,2026-06-21 23:02:24,BNB_Grid_0.3_71_1782097317
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.07202602,0.0041,2026-06-22 00:02:15,2026-06-22 00:02:36,BNB_Grid_0.3_72_1782100935
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.03169897,0.0037,2026-06-22 00:19:51,2026-06-22 00:20:21,BNB_Grid_0.3_73_1782101991
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.00844384,0.0035,2026-06-22 00:28:12,2026-06-22 00:29:00,BNB_Grid_0.3_74_1782102492
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99401461,0.0033,2026-06-22 17:40:09,2026-06-22 17:41:48,BNB_Grid_0.3_105_1782164409
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.46873004,0.0048,2026-06-22 17:41:51,2026-06-22 17:52:54,BNB_Grid_0.3_106_1782164511
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.66,0.0034,2026-06-22 17:47:42,2026-06-22 17:53:24,BNB_Grid_0.3_107_1782164862
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.99,0.0034,2026-06-22 17:50:54,2026-06-22 17:55:30,BNB_Grid_0.3_108_1782165054
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.34,0.0036,2026-06-22 15:10:15,2026-06-22 17:58:15,BNB_Grid_0.3_103_1782155415
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.75072108,0.0043,2026-06-22 15:10:12,2026-06-22 18:01:45,BNB_Grid_0.3_102_1782155412
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.98,0.0033,2026-06-22 15:09:51,2026-06-22 18:02:42,BNB_Grid_0.3_101_1782155391
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.41904846,0.0044,2026-06-22 18:08:24,2026-06-22 18:09:18,BNB_Grid_0.3_111_1782166104
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.69181424,0.0037,2026-06-22 18:07:39,2026-06-22 18:11:27,BNB_Grid_0.3_110_1782166059
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.99644255,0.0035,2026-06-22 18:06:33,2026-06-22 18:13:21,BNB_Grid_0.3_109_1782165993
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.98821,0.0034,2026-06-22 18:20:57,2026-06-22 18:22:30,BNB_Grid_0.3_115_1782166857
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.69976063,0.0036,2026-06-22 18:28:12,2026-06-22 18:28:21,BNB_Grid_0.3_122_1782167292
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.20258273,0.0053,2026-06-22 18:28:12,2026-06-22 18:28:33,BNB_Grid_0.3_123_1782167292
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.58479286,0.0058,2026-06-22 18:28:09,2026-06-22 18:28:36,BNB_Grid_0.3_120_1782167289
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.3723318,0.0037,2026-06-22 18:29:57,2026-06-22 18:31:24,BNB_Grid_0.3_124_1782167397
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.05453763,0.0038,2026-06-22 18:32:06,2026-06-22 18:32:36,BNB_Grid_0.3_126_1782167526
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.34912929,0.0035,2026-06-22 18:31:57,2026-06-22 18:33:24,BNB_Grid_0.3_125_1782167517
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.82953906,0.0050,2026-06-22 18:28:09,2026-06-22 18:33:51,BNB_Grid_0.3_121_1782167289
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.68955011,0.0035,2026-06-22 18:38:06,2026-06-22 18:38:51,BNB_Grid_0.3_130_1782167886
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.05,0.0038,2026-06-22 18:37:09,2026-06-22 18:41:57,BNB_Grid_0.3_129_1782167829
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.39345709,0.0039,2026-06-22 18:37:06,2026-06-22 18:42:09,BNB_Grid_0.3_128_1782167826
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.02,0.0035,2026-06-22 18:44:24,2026-06-22 18:46:30,BNB_Grid_0.3_132_1782168264
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.33,0.0033,2026-06-22 18:43:03,2026-06-22 18:48:03,BNB_Grid_0.3_131_1782168183
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.68,0.0035,2026-06-22 18:36:03,2026-06-22 18:50:24,BNB_Grid_0.3_127_1782167763
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66523996,0.0034,2026-06-22 18:50:51,2026-06-22 18:52:06,BNB_Grid_0.3_133_1782168651
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99119466,0.0033,2026-06-22 18:27:18,2026-06-22 18:56:27,BNB_Grid_0.3_119_1782167238
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.33743559,0.0035,2026-06-22 18:27:06,2026-06-22 19:02:45,BNB_Grid_0.3_118_1782167226
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66707313,0.0034,2026-06-22 19:15:30,2026-06-22 19:18:39,BNB_Grid_0.3_136_1782170130
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99,0.0033,2026-06-22 19:14:42,2026-06-22 19:20:36,BNB_Grid_0.3_135_1782170082
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.32061869,0.0033,2026-06-22 19:03:18,2026-06-22 19:22:54,BNB_Grid_0.3_134_1782169398
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68284418,0.0036,2026-06-22 18:26:48,2026-06-22 19:23:21,BNB_Grid_0.3_117_1782167208
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.67190664,0.0035,2026-06-22 19:24:21,2026-06-22 19:26:48,BNB_Grid_0.3_137_1782170661
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.85171666,0.0053,2026-06-22 19:32:51,2026-06-22 19:36:36,BNB_Grid_0.3_138_1782171171
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.10494831,0.0045,2026-06-22 18:25:45,2026-06-22 19:36:42,BNB_Grid_0.3_116_1782167145
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.34543246,0.0037,2026-06-22 18:20:39,2026-06-22 19:36:48,BNB_Grid_0.3_114_1782166839
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.65,0.0033,2026-06-22 19:47:18,2026-06-22 19:53:42,BNB_Grid_0.3_141_1782172038
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.04,0.0039,2026-06-22 19:43:03,2026-06-22 19:55:00,BNB_Grid_0.3_140_1782171783
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.41829954,0.0043,2026-06-22 20:02:06,2026-06-22 20:02:42,BNB_Grid_0.3_144_1782172926
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.69062938,0.0037,2026-06-22 19:58:21,2026-06-22 20:03:12,BNB_Grid_0.3_142_1782172701
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.0195503,0.0036,2026-06-22 20:12:27,2026-06-22 20:13:03,BNB_Grid_0.3_147_1782173547
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.36096436,0.0037,2026-06-22 20:07:45,2026-06-22 20:15:27,BNB_Grid_0.3_146_1782173265
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66404395,0.0033,2026-06-22 20:24:39,2026-06-22 20:25:24,BNB_Grid_0.3_150_1782174279
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.34141495,0.0034,2026-06-22 20:28:48,2026-06-22 20:29:42,BNB_Grid_0.3_152_1782174528
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.6727182,0.0034,2026-06-22 20:25:45,2026-06-22 20:30:15,BNB_Grid_0.3_151_1782174345
BNB_Grid_0.3,grid,long,bnbusdt,589.66,589.99754355,0.0034,2026-06-22 20:20:24,2026-06-22 20:30:48,BNB_Grid_0.3_149_1782174024
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.37501136,0.0039,2026-06-22 20:16:54,2026-06-22 20:31:27,BNB_Grid_0.3_148_1782173814
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.66998029,0.0035,2026-06-22 20:05:30,2026-06-22 20:32:36,BNB_Grid_0.3_145_1782173130
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.03268535,0.0038,2026-06-22 19:58:21,2026-06-22 20:32:42,BNB_Grid_0.3_143_1782172701
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68154467,0.0036,2026-06-22 20:38:27,2026-06-22 20:39:45,BNB_Grid_0.3_154_1782175107
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.98583424,0.0034,2026-06-22 20:36:00,2026-06-22 20:41:45,BNB_Grid_0.3_153_1782174960
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.33068948,0.0035,2026-06-22 19:38:15,2026-06-22 20:43:48,BNB_Grid_0.3_139_1782171495
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.68056999,0.0036,2026-06-22 18:17:21,2026-06-22 20:45:00,BNB_Grid_0.3_113_1782166641
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.6553537,0.0034,2026-06-22 20:48:21,2026-06-22 20:48:54,BNB_Grid_0.3_155_1782175701
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.98733598,0.0034,2026-06-22 18:14:57,2026-06-22 21:01:06,BNB_Grid_0.3_112_1782166497
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.32535145,0.0035,2026-06-22 15:09:33,2026-06-22 21:01:33,BNB_Grid_0.3_100_1782155373
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.06,0.0041,2026-06-22 21:03:03,2026-06-22 21:08:12,BNB_Grid_0.3_157_1782176583
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.65353464,0.0033,2026-06-22 21:18:18,2026-06-22 21:21:30,BNB_Grid_0.3_159_1782177498
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.99,0.0034,2026-06-22 21:17:33,2026-06-22 21:22:15,BNB_Grid_0.3_158_1782177453
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.02437002,0.0036,2026-06-22 21:37:00,2026-06-22 21:39:18,BNB_Grid_0.3_166_1782178620
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.44,0.0045,2026-06-22 21:36:57,2026-06-22 21:41:18,BNB_Grid_0.3_165_1782178617
BNB_Grid_0.3,grid,long,bnbusdt,588.34,588.71,0.0037,2026-06-22 21:50:48,2026-06-22 21:51:27,BNB_Grid_0.3_172_1782179448
BNB_Grid_0.3,grid,long,bnbusdt,588.67,589.00729948,0.0034,2026-06-22 21:49:24,2026-06-22 21:52:39,BNB_Grid_0.3_171_1782179364
BNB_Grid_0.3,grid,long,bnbusdt,589.0,589.45,0.0045,2026-06-22 21:48:21,2026-06-22 21:53:12,BNB_Grid_0.3_170_1782179301
BNB_Grid_0.3,grid,long,bnbusdt,589.33,589.66806885,0.0034,2026-06-22 21:46:24,2026-06-22 21:53:48,BNB_Grid_0.3_169_1782179184
BNB_Grid_0.3,grid,long,bnbusdt,589.66,590.02658811,0.0037,2026-06-22 21:44:54,2026-06-22 21:54:45,BNB_Grid_0.3_168_1782179094
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.39250643,0.0040,2026-06-22 21:44:30,2026-06-22 21:57:27,BNB_Grid_0.3_167_1782179070
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.68482923,0.0036,2026-06-22 21:36:12,2026-06-22 21:58:06,BNB_Grid_0.3_164_1782178572
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.08916532,0.0044,2026-06-22 21:35:09,2026-06-22 22:04:45,BNB_Grid_0.3_163_1782178509
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.66608426,0.0035,2026-06-22 22:11:03,2026-06-22 22:13:39,BNB_Grid_0.3_174_1782180663
BNB_Grid_0.3,grid,long,bnbusdt,590.65,591.04763259,0.0040,2026-06-22 22:09:27,2026-06-22 22:15:12,BNB_Grid_0.3_173_1782180567
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.34,0.0036,2026-06-22 21:34:54,2026-06-22 22:15:24,BNB_Grid_0.3_162_1782178494
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.32286667,0.0034,2026-06-22 22:20:06,2026-06-22 22:20:36,BNB_Grid_0.3_175_1782181206
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.66,0.0034,2026-06-22 21:33:39,2026-06-22 22:21:21,BNB_Grid_0.3_161_1782178419
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.05,0.0040,2026-06-22 21:25:00,2026-06-22 22:27:33,BNB_Grid_0.3_160_1782177900
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.73,0.0041,2026-06-22 22:36:06,2026-06-22 22:41:15,BNB_Grid_0.3_177_1782182166
BNB_Grid_0.3,grid,long,bnbusdt,591.65,591.98901512,0.0034,2026-06-22 22:28:33,2026-06-22 22:49:36,BNB_Grid_0.3_176_1782181713
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.33685893,0.0036,2026-06-22 21:02:48,2026-06-22 22:50:42,BNB_Grid_0.3_156_1782176568
BNB_Grid_0.3,grid,long,bnbusdt,592.31,592.70334037,0.0039,2026-06-22 15:09:24,2026-06-22 22:51:48,BNB_Grid_0.3_98_1782155364
BNB_Grid_0.3,grid,long,bnbusdt,592.64,593.08,0.0044,2026-06-22 15:09:24,2026-06-22 22:57:33,BNB_Grid_0.3_99_1782155364
BNB_Grid_0.3,grid,long,bnbusdt,589.99,590.33724292,0.0035,2026-06-22 23:09:54,2026-06-22 23:11:39,BNB_Grid_0.3_186_1782184194
BNB_Grid_0.3,grid,long,bnbusdt,590.32,590.78098418,0.0046,2026-06-22 23:09:30,2026-06-22 23:13:06,BNB_Grid_0.3_185_1782184170
BNB_Grid_0.3,grid,long,bnbusdt,590.65,590.99130262,0.0034,2026-06-22 23:07:48,2026-06-22 23:13:42,BNB_Grid_0.3_184_1782184068
BNB_Grid_0.3,grid,long,bnbusdt,590.98,591.35,0.0037,2026-06-22 23:06:12,2026-06-22 23:15:12,BNB_Grid_0.3_183_1782183972
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.6633208,0.0034,2026-06-22 23:04:36,2026-06-22 23:18:12,BNB_Grid_0.3_182_1782183876
BNB_Grid_0.3,grid,long,bnbusdt,591.32,591.66039615,0.0034,2026-06-22 23:20:09,2026-06-22 23:26:30,BNB_Grid_0.3_187_1782184809
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.08796493,0.0044,2026-06-22 23:03:21,2026-06-22 23:28:39,BNB_Grid_0.3_181_1782183801
BNB_Grid_0.3,grid,long,bnbusdt,591.65,592.02839269,0.0038,2026-06-22 23:31:06,2026-06-22 23:32:48,BNB_Grid_0.3_188_1782185466
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.31251064,0.0033,2026-06-22 23:02:12,2026-06-22 23:33:06,BNB_Grid_0.3_180_1782183732
BNB_Grid_0.3,grid,long,bnbusdt,592.31,592.73462829,0.0042,2026-06-22 23:01:45,2026-06-22 23:35:51,BNB_Grid_0.3_179_1782183705
BNB_Grid_0.3,grid,long,bnbusdt,591.98,592.32832366,0.0035,2026-06-22 23:41:00,2026-06-22 23:42:42,BNB_Grid_0.3_190_1782186060
